key;value
Секс классический;ОБОЖАЮ. количество контактов - 2
Минет в презервативе;ЛЮБЛЮ ДОСТАВЛЯТЬ УДОВОЛЬСТВИЕ
Минет без резинки;ДОП. С НАСЛАЖДЕНИЕМ
Куннилингус;ПРИВЕТСТВУЮ, МНЕ ОЧЕНЬ НРАВИТСЯ
Окончание на грудь;ВЗРЫВ ВУЛКАНА НА МОЮ НАЛИВНУЮ ГРУДЬ...
Окончание на лицо;На моё усмотрению
Боди массаж;Есть массажный стол, масла без запаха, релаксирующая обстановка
Эротический;Окунись со мной в мир эротических желаний
Стриптиз;Очень эротично
Анилингус;Нравится очень )
Легкая доминация;Принудительный куни
Трамплинг;Без обуви
Минет без резинки;Не Всем
Секс классический;В машине с тонирновкой
Окончание в рот;Глотаю сперму!
Анальный секс;За дополнительную оплату, по-предварительной договорённости(размер имеет значение)
Секс групповой;За дополнительную оплату, по-предварительной договорённости(не более двух человек)
Услуги семейной паре;За дополнительную оплату, по-предварительной договорённости
Минет без резинки;За дополнительную оплату, по-предварительной договорённости
Игрушки;За дополнительную оплату, по-предварительной договорённости
Окончание на грудь;За дополнительную оплату, по-предварительной договорённости
Окончание на лицо;За дополнительную оплату, по-предварительной договорённости
Окончание в рот;За дополнительную оплату, по-предварительной договорённости
Ролевые игры;За дополнительную оплату, по-предварительной договорённости
Стриптиз;За дополнительную оплату, по-предварительной договорённости
Лесби откровенное;За дополнительную оплату, по-предварительной договорённости
Лесби-шоу;За дополнительную оплату, по-предварительной договорённости
Страпон;За дополнительную оплату, по-предварительной договорённости
Анилингус;За дополнительную оплату, по-предварительной договорённости
Золотой дождь;За дополнительную оплату, по-предварительной договорённости
Легкая доминация;За дополнительную оплату, по-предварительной договорённости
Рабыня;За дополнительную оплату, по-предварительной договорённости
Фетиш;За дополнительную оплату, по-предварительной договорённости
Игры;За дополнительную оплату, по-предварительной договорённости
Эскорт;Предоплата 50 процентов
Виртуальный секс;10000
Cекс по телефону;5000
Анальный секс;Люблю и отдаюсь с душой
Куннилингус;Доп
Окончание в рот;Обожаю)
Расслабляющий массаж;Нежно, сильными умелыми руками, телом и губами
Эротический;Большой упругой грудью, телом, губами и ....
Фетиш;У меня очень красивые ножки, сумочки и высокие каблуки
Анальный секс;4000 с ограничениями
Минет без резинки;На моё усмотрение,фимоз,покраснения ,высыпания,неприятный запах являются причиной отказа в этой услуге!!!
Минет глубокий;Не горловой,если позволяет размер
Куннилингус;На моё усмотрение
Целуюсь;Исключительно по собственной инициативе с некурящими и с ухоженными зубами и ртом!
Боди массаж;Спина, шея,не профи..При условии одного контакта!
Эротический;Ветка сакуры.. Горячее дыхание и шаловливый язычок
Ролевые игры;2000..Твоя соблазнительная мачеха.. строгая, но похотливая начальница.. Или плохая училка,случайная попутчица в СВ, а впереди вся ночь.. Ммм..
Страпон;+2000 подготовленных
Анилингус;5000 на моё усмотрение
Легкое подчинение;Грязные словечки,шлепки по моей шикарной попе)
Фетиш;Фут фетиш.. Фетиш белья
Анальный секс;+2000 р
Услуги семейной паре;+5000 р
Окончание в рот;Обсуждается
Профессиональный;Сертификат БЭМ
Лесби откровенное;+1000 р. есть рыжая подруга моего возраста
Лесби-шоу;+500 р.
Страпон;Профессионально
Золотой дождь;Дог. заранее
Фистинг анальный;Дог., от лайт до беспощадного
Фистинг классический;Дог., 2 пальчика (валуевцам - 1 пальчик)
Игрушки;По настроению на сессииот2часов поласкаю себя игрушками,или одену Буратино на ваше лицо....
Расслабляющий массаж;Как элемент сессии.Для лайт программы
Урологический массаж;Проф.смазка,Опытные длинные пальчики
Ролевые игры;Возможны сценарии Строгая учительница-ученик,врач-пациент и тд.
Фото/видео съемка;+500-1000 вас
Виртуальный секс;От 1000
Легкая доминация;И не только.
Бандаж;Разнообразный
Порка;Лёгкая,средняя,жесткая
Клизма;Желательно готовиться заранее, но можно и у меня,могу сделать и сама
Фетиш;Разнообразный,в том числе потных ножек,подмышек
Игры;Госпожа и раб( или паж,или шлюшка и т.п.)
Урологический массаж;1500
Куннилингус;Включено в сумму часа.
Игрушки;Весь секс-шоп собран у меня дома)
Боди массаж;Оздоровительный, спортивный.
Профессиональный;Имею сертификат об спец.образовании.
Расслабляющий массаж;Расслаблю по полной) настоящий релакс и удовольствие, состояние легкости гарантирую
Урологический массаж;Профессионально и Аккуратно. Без боли.очень полезно для мужского здоровья(в одноразовых перчатках и со смазочкой будет приятно)
Эротический;Массаж лингама, ручное расслабление.
Фото/видео съемка;Только на твою аппаратуру-доп +1000р.
Страпон;Страпоны имеются от маленьких и средних до гигантов-подберу по размеру.
Анилингус;Будешь лизать мою попку!
Госпожа;Можем поиграть. если ты захочешь испытать что то новое...без следов, боли и грязи. Все добровольно и безопасно!
Легкая доминация;Лайт вариант)
Рабыня;Доп+4000р. молодая симпатичная в Теме, лесбис со мной и прочие игры без жести возможны с ней. В любой день за два часа звоните и она приедет ко мне для наших с вами утех)
Клизма;Вам)
Фетиш;Футфетиш-размер моей ножки 36. фетиш белья..
Игры;Любые ролевые игры-учитываю пожелания.
Игрушки;Страпоны.анальные пробки, кольца для сжатия, анальная помпа
Урологический массаж;Массаж простаты
Ролевые игры;По вашему сценарию
Cекс по телефону;1000- 15 мин
Страпон;Есть разные размеры
Фистинг анальный;Доведение до струйного оргазма.в перчатке рукой.двумя руками. Есть помпа.
Фингеринг;Вам
Легкая доминация;Мягкое введение в страпон-секс
Бандаж;Гениталий
Порка;Ремень,пэддл, стек
Фетиш;Ног в чулках,  в обуви
Секс классический;В любых позах целый час)
Секс групповой;Доп.мжм 8тыс ча,жмж 12 тыс
Услуги семейной паре;Доп.8тыс час,16тыс 2ч
Минет без резинки;Доп.3 тыс
Куннилингус;Доп 1000
Целуюсь;Доп.+1000
Игрушки;Доп.+2000
Окончание на грудь;Доп.+500
Окончание на лицо;Доп.+2тыс
Окончание в рот;Доп.+3000 вместе с мбр
Боди массаж;Приятно)
Расслабляющий массаж;Нежненько)
Урологический массаж;Доп.+2тыс
Эротический;Доп. 2500тыс
Фото/видео съемка;Доп.5 тыс
Эскорт;Доп.
Виртуальный секс;Доп.+700 10мин, 1000р 15 мин,1000р 10 мин с игрушками,1000р 5 фото,700р 1 видео 1 минута,более сложные видео обсуждаются,цена может меняться
Cекс по телефону;Доп.+500 10мин
Стриптиз;Доп.+500
Анилингус;Доп.+3000
Анилингус;Доп.+500
Золотой дождь;Доп.+5000 предупреждай заранее
Золотой дождь;Доп.+5000
Фистинг анальный;Доп.+3000
Фистинг классический;Доп.+3000
Легкая доминация;Доп.2 тыс
Легкое подчинение;Доп.2тыс
Фетиш;Доп.
Минет без резинки;По симпатии 1000
Куннилингус;По симпатии 1000
Окончание в рот;По симпатии 1000
Легкая доминация;По симпатии 1000
Легкое подчинение;По симпатии 1000
Фетиш;По симпатии 1000
Игры;По симпатии 1000
Ролевые игры;500
Cекс по телефону;200 р 10 мин
Золотой дождь;Дог.
Госпожа;500
Минет без резинки;Доп 2000
Игрушки;Доп
Окончание на грудь;Доп 1000
Окончание на лицо;Доп 1000
Боди массаж;Доп 1000
Расслабляющий массаж;Доп 1000
Эротический;Доп 1000
Фото/видео съемка;Фото 500видео 1000
Виртуальный секс;1000
Госпожа;Доп
Секс лесбийский;От 30 000 только для тех с кем знакомы и договариваться за ранее
Услуги семейной паре;От 15 000
Минет в презервативе;Только моему страпону . сабу или Господину  (за доплату)
Куннилингус;+5000 это не для всех. только при симпатии
Игрушки;Большой выбор
Ролевые игры;Расмотрю ваш сценарий , могу написать сама от 2000
Фото/видео съемка;Только Вас, сценарий придумываем заранее. Я - режиссер.
Стриптиз;Есть пилон
Страпон;Есть попперсы на выбор, любой размер, новичкам - мягкое применение
Копро;10000
Фистинг классический;Вашей девушке
Бандаж;Веревки, наручники, бандаж гениталий
Порка;От легкой игровой до жесткой
Трамплинг;Как в обуви так и без
Секс групповой;Доп
Услуги семейной паре;Доп
Минет без резинки;При взаимной симпатии 1000
Куннилингус;Обажаю
Виртуальный секс;500,по ватсапу
Cекс по телефону;300
Минет в машине;Отдельная услуга
Анальный секс;For gentleman with suitable temperament, with good additional honorarium for me
Минет без резинки;5000 ru
Эскорт;I can travel outside of Russia and nearest cities tk Moscow
Виртуальный секс;From 3000 rub 30 euro.
Cекс по телефону;Yes
Страпон;Yes, I do
Фингеринг;Remind! Only clean fingers!
Фетиш;Fun
Трамплинг;Fun
Минет без резинки;При симпатии +500
Окончание в рот;При симпатии +1000 (в стоимость МБР не входит)
Анальный секс;3000
Лесби откровенное;1000
Секс лесбийский;10000
Услуги семейной паре;10000
Лесби откровенное;10000
Лесби-шоу;10000
Госпожа;2000
Игры;2000
Секс классический;В разных позах!
Секс групповой;Могу пригласить классную подругу!
Куннилингус;Кончаю!Очень люблю!
Окончание на грудь;Обкончай мои сосочки)
Окончание в рот;При мбр.В ротик,на лицо,на грудь
Боди массаж;Ветка Сакуры
Профессиональный;Проф.только массаж стоп.
Расслабляющий массаж;Массаж Лингам
Урологический массаж;Нежно и ПрофессиАнально!
Эротический;Массажик грудью.
Фото/видео съемка;Без лица.
Виртуальный секс;1000 в Вайбер или Ватсапп 10 минут.
Cекс по телефону;500 рублей 10 минут.
Лесби откровенное;Ты,я и твоя дама.
Страпон;Включен.
Золотой дождь;Входит в стоимость.
Золотой дождь;5000 На ножки.
Фистинг анальный;Включен.
Фистинг классический;На 1-2 пальчика.Аккуратно!
Легкая доминация;Принудительный кунилингус и анилингус.
Порка;ВАС!Входит в стоимость.
Минет без резинки;Дог.
Анальный секс;+ 2000. Предупредить заранее
Профессиональный;500
Лесби откровенное;Для Семейной Пары!
Анилингус;+ 1500 ТОЛЬКО ДЛЯ ЧИСТОПЛОТНЫХ
Рабыня;Тольлко Лайт!
Секс классический;УЗКО! Кончаю! Дорогие, очень жестко и глубоко - это не ко мне ввиду скромных размеров вагины, приглашаю ценителей)
Анальный секс;3000 Здесь тоже очень-очень узко! Кончаю! Войди в мою попочку (НЕЖНО))! От нежного ас могу кончить даже без стимуляции клитора) Уже представила там твой член. Пока для небольших размеров, нужно растягивать аккуратненько) Предупреждаем
Секс групповой;МЖМ оплата с каждого, допы услуги оплачиваются отдельно
Минет в презервативе;Люблю члены, преклоняюсь перед ними) Беру в ротик разнообразно и очень слюняво. Слюни стекают по стволу. Может быть, хочешь пальчик в попку?
Минет без резинки;2000 Обожаю вкус члена чистоплотного мужчины, мммм!!! Привози ко мне свой член! Окрестности - да! Чем более гладкие, тем тщательнее!
Минет глубокий;Чем глубже, чем влажнее и слюнявее! Очень мокро!
Куннилингус;Обожаю, люблю сама тереться писей об язычки, сама двигаюсь, направляя твой язычок в нужном направлении, сейчас пушистая натуральная!
Целуюсь;1000 Будем сосаться во время секса, ммм
Игрушки;Разные, мне и тебе. Много игрушек для мужчин! Есть безремневой страпон, кончающий фаллос, двойной (мне и тебе одновременно!),  пробки, клиторальный вибратор и т д Для меня игрушечки маленькие, так как все узенькое)
Окончание на грудь;Размажь по сисечкам!
Окончание в рот;3000 с МБР, Включаю режим пылесоса)  НЕ глотаю, так как очень слежу за своим здоровьем! Кстати, анализы сдаю регулярно и часто!
Боди массаж;Помну больные места на спинке
Профессиональный;Говорят, что мой массаж похож на проф, не училась, но стараюсь ) массажного стола нету
Расслабляющий массаж;Масло, музыка, релакс
Урологический массаж;С минетом и в чистом виде. Найду твой бугорочек и буду тереть пока не кончишь
Эротический;Поласкаю член руками, поласкаю тебя сисечками и жопой
Страпон;1000 Это вообще обожаю, завожусь с полоборота при виде подставленой попочки. Разные размеры. Люблю жестко, и не только в попку)
Анилингус;3000 Нежненько! Ухоженых и гладких обожаю! С тебя кристальная чистота и гладкость. Нечистоплотным данная услуга не оказывается
Анилингус;Конечно!
Золотой дождь;4000 на тело, попку
Фистинг анальный;1000 узкой ручкой умело, нежно или жестко, игрушки есть большие
Фингеринг;В мою сторону только снаружи. Возможен в вашу сторону)
Госпожа;+1000 и будешь моей вещью
Легкая доминация;Фейсситинг. Привяжу к кровати, заставлю доставить мне удовольствие или изнасилую
Бандаж;В вашу сторону
Фетиш;Очень люблю ласки ножек
Игры;Самые развратные
Минет без резинки;С фимозом 2,3 и 4 степени МБР не делаю!
Минет глубокий;Без иррумации
Окончание в рот;Не сплевываю
Эскорт;Обсуждаемо. Только с постоянными гостями.
Фингеринг;Вагинальный
Секс классический;До бурного оргазма
Анальный секс;+3000 т.р. Узенькая попочка! Предупреди ЗАРАНЕЕ ...незабываемо)
Секс групповой;ЖМЖ -) с моей подружкой) цена умножается на два )
Секс лесбийский;Люблю девочек и знаю все женские секретики возбуждения)
Услуги семейной паре;+5000 т.р. Она будет довольна, а ты получишь новые ощущения и опыт)
Минет в презервативе;Мой язычок и губки сведут с ума, я буду ласкать твой член нежно, доводя до кипящей страсти
Минет без резинки;Очень нежный и страстный)
Минет глубокий;Буду стараться)
Минет в машине;5000 и мы пошалим -)
Куннилингус;Жаркая и сладкая )
Игрушки;Ооуу..... Конечно поиграем, если У ТЕБЯ ОНИ ЕСТЬ )
Окончание в рот;Будем шалить по-полной!
Боди массаж;Доверься мне, я умею это делать
Расслабляющий массаж;Ты наверное устал? ммм?) Со мной ты сможешь расслабиться)
Эротический;Пробуждает желание вновь и вновь
Ролевые игры;Секретарша? медсестра? твоя леди босс?...
Эскорт;Со мной ты забудешь о всех своих проблемах) Я ни на минуту не заставлю тебя скучать) Есть Загран.паспорт)
Виртуальный секс;2000 тыс руб - Пришлю НЮ фоточки, сниму эротическое видео специально для тебя, или просто пошалим по видеосвязи - я буду абсолютно голенькая
Cекс по телефону;1500 тысячи руб - нет денег или времени на встречу? можно просто пообщаться по телефону !
Лесби откровенное;Умею и люблю )
Лесби-шоу;Лучше откровенное) с моей подружкой или (с твоей девочкой)
Страпон;О даааа...... Моя слабость) Поиграю с тобой им нежно и страстно.....войдя в тебя... )
Золотой дождь;+5000 Сколько захочешь! напою и оболью!)
Копро;С удовольствием! )) По предоплате от 10 тысяч на баланс телефона - оператор мегафон) Окончательную сумму обсуждаю по телефону
Фистинг анальный;Буду нежной)
Фистинг классический;Горю желанием новых ощущений!
Фингеринг;Ммм)
Госпожа;С огромным удовольствием!Обожаю когда нежно целуют ножки,фейсситтинг -ЛЮБЛЮ СИДЕТЬ СВОЕЙ ПИСЕЧКОЙ НА ТВОЕМ ЛИЦЕ ...А ЕЩЕ ВОДИТЬ СВОЕЙ ПОПОЧКОЙ ПО ТВОЕМУ ЛИЦУ...ИЛИ КОНТРОЛИРОВАТЬ ТВОЕ ДЫХАНИЕ...СВОЕЙ ГОРЯЧЕЙ КИСКОЙ....ммм...будет всё принудительно) !
Легкая доминация;#ИМЯ?
Рабыня;Для истинного и щедрого Господина могу быть послушной и исполнительной(лайт), МОГУ БЫТЬ ЛАСКОВОЙ ДО БЕЗУМИЯ, ВЕРНОЙ И ПРЕДАННОЙ...ИЛИ ДЕРЗКОЙ ДЕВЧОНКОЙ...КОТОРУЮ СТОИТ НАКАЗАТЬ! БЕЗ СЛЕДОВ))
Бандаж;При желании тебя свяжу и нежно помучаю -)
Порка;Могу выпороть тебя хорошенько)
Фетиш;Могу оставить тебе на память свои трусики) ммм)
Трамплинг;Прогуляюсь по тебе...
Игры;Любой твой сценарий разыграем как в кино)
Минет без резинки;МБР включен в часик!
Окончание в рот;+1000р
Секс классический;Если я возбуждена,то по настоящему, актерского образования не имею
Секс групповой;Мжм двойной тариф
Секс лесбийский;Двойной тариф
Услуги семейной паре;Двойной тариф
Минет в презервативе;Пока я беру в ротик,ты тем временем  нежно гладь мою киску )
Минет без резинки;Мерамистин всегда при мне
Минет глубокий;Не для всех
Минет в машине;Прайс остаётся таким же
Куннилингус;Ммм
Игрушки;Имеются
Окончание на грудь;Подарок к мбр
Окончание на лицо;Подарок к мбр
Окончание в рот;Подарок к мбр
Эротический;Если покажешь как тебе нравится
Ролевые игры;По твоему сценарию
Фото/видео съемка;Только на мой телефон
Эскорт;Открыт шенген
Виртуальный секс;Видео3000р. 1фото заказ 500р(всё без лица)переписка 2000поласа
Cекс по телефону;1500р 5мин
Золотой дождь;+10тыс.на моё усмотрение
Фистинг классический;Пару пальчиков
Фингеринг;Обожаю
Госпожа;В поисках верного пса
Рабыня;Так себе из меня рабыня
Бандаж;С твоим инвертарем
Порка;Мощная плеть кошка пятихвостка
Игры;По твоему сценарию
Секс лесбийский;Есть красивая подруга
Эскорт;От 1000 евро в сутки
Виртуальный секс;10000-любой сценарий
Страпон;По договоренности
Секс классический;Стандартный по ГОСТу!
Анальный секс;Хочу плотного, сквозного проникновения в попку, можно и хорошего двойного для радости!  !ЗАРАНЕЕ ВСЕ ОБСУЖДАЕТСЯ И ОГОВАРИВАЕТСЯ! (Пожалуйста заранее уведомляйте меня о личных желаемых визитах.) Анал готов к битве!)
Секс групповой;Вдвоем, Втроем, Вчетвером!  !ЗАРАНЕЕ ВСЕ ОБСУЖДАЕТСЯ И ОГОВАРИВАЕТСЯ! (Пожалуйста заранее уведомляйте меня о личных желаемых визитах.)
Секс лесбийский;Пошалим подруга? Так же практикую страстный, балавливый кунилингус от Принцессы!)
Услуги семейной паре;Любые постановки, сценарии и фетиши уважаемые господа! Полюбуемся друг на друга и устроим оргию!  !ЗАРАНЕЕ ВСЕ ОБСУЖДАЕТСЯ И ОГОВАРИВАЕТСЯ! (Пожалуйста заранее уведомляйте меня о личных желаемых визитах!)
Минет в презервативе;Резина будет стеснять Вашу гениталию, а потому заранее советую Вам ее снять для чувственного минета со счастливым концом!)
Минет без резинки;Ваш член будет доволен моей работой!)
Минет глубокий;Сделаю Вам Хеппи - Хеппи с проглотом яичек!)
Минет в машине;Насажу свой рот на Ваш полный член и буду переключать Ваши скорости путем манипуляции своих уст Вашей головки члена!)
Куннилингус;Сочный, с тонущем языком во влагалище!)
Целуюсь;Сосусь в губки!
Игрушки;Пожалуйста, только жду Вас со своими абсолютно любыми игрушками!) Или берите арсенал в охапку и будем вскрывать друг другу чакры!)
Окончание на грудь;Желаю принимать Ваши струи струйного оргазма!)
Окончание на лицо;Обожаю белковые маски и буду рада принять Ваше семя себе на лицо!)
Окончание в рот;Обожаю белковые массы! Я сама лично опустошив Вас проглочу Все то, что вы во мне оставили!)
Боди массаж;Помну Вас своими динамичными ручонками!)
Профессиональный;Профессиональный массаж в моём исполнении!)
Расслабляющий массаж;Нежно помну Вас своими пальчиками!
Урологический массаж;Ручками и пальчиками доведу Вас до головокружительного оргазма!)
Эротический;Буду нежно импровизировать и находить Ваши слабости с положительным окончанием!)
Ролевые игры;Накажете плохую школьницу? Или вызовете свою секретаршу? Ваш выбор)
Фото/видео съемка;Готова позировать своими изгибами!
Эскорт;Сопровожу мужчину по высшему классу)
Стриптиз;Своим аналом буду сотрясать твои ляжки!
Стриптиз;Продемонстрирую Вам свое добро!)
Лесби откровенное;Девчатам понравятся, опытные одобрят!)
Лесби-шоу;Чисто по кайфу!)
Страпон;Волшебной палочкой!)
Анилингус;Мой язычок создаст шершавые виражи!
Анилингус;Моя киска в зоне слюнявого риска!)
Золотой дождь;Как из ведра или лейки!) Срыв разливного днища!)
Золотой дождь;Вымочи меня в моче!
Копро;Давай сюда свой смузи!
Фистинг анальный;Ваше анальное гнездо будет атаковано моей ядовитой гадюкой!)))
Фистинг анальный;Твоими бы руками да мне в зад!
Фистинг классический;Будем баловаться и демонстрировать личные познания в этой сфере!)
Фингеринг;Воздействую на Вас подручными бытовыми приборами или перейдем в категорию Профи-Профилактики.)
Госпожа;Буду строгой дамой доминой!)
Легкая доминация;Морально покажу кто в доме хозяйка!)
Рабыня;Исполнение прихоти главенствующих Господ!)
Легкое подчинение;Усмирите меня своим властным напором)
Бандаж;Мое тело будет в Вашем распоряжении!
Порка;В Вашу или мою сторону, от мягкой до жесткой!
Клизма;Готовьте попку для водных процедур!)
Фетиш;Различные - удовлетворю любой каприз!
Трамплинг;Растопчу Ваше тело своими нежными ножками)
Игры;На любой вкус и с любым сценарием)
Анальный секс;1500 размер имеет значениет
Секс групповой;С подругой или с вашим другом 4000
Услуги семейной паре;Двойная плата
Лесби-шоу;5000
Анилингус;По симпатии
Рабыня;От 4000
Легкое подчинение;4000
Анилингус;Ручками
Минет без резинки;700
Игрушки;+500в вашу сторону
Боди массаж;500
Окончание на грудь;+500 (по симпатии)
Лесби-шоу;+2 тр.
Анальный секс;По договоренности
Секс лесбийский;Оплата двойная,только с той женщиной,котороую приглашу я
Игрушки;В Вашу сторону
Урологический массаж;3000
Эскорт;Шенген открыт
Виртуальный секс;3000 видео, 1500 фото.
Cекс по телефону;1500
Лесби-шоу;Оплата двойная,только с моей подругой,которую я приглашу
Страпон;Вам
Золотой дождь;5000
Секс классический;Приятно совмещать с игрушками)
Анальный секс;3000 размер не имеет значения!)
Секс групповой;В любом составе!
Секс лесбийский;Поласкаем тебя в два язычка! Встреча в расширенном составе возможна только после знакомства со мной!
Услуги семейной паре;Есть смелые пары?)
Минет в презервативе;Королева минета!
Минет без резинки;Включен в прайс! С окончанием в ротик...
Минет глубокий;3000 Высосу и проглочу!)
Минет в машине;Только хорошо знакомым мне мужчинам!
Куннилингус;Кончаю от куни...
Целуюсь;Как с любимым мужчиной...
Игрушки;Имеются!
Окончание на грудь;Приятное с полезным!
Окончание на лицо;На лицо и язычок, ммм..
Окончание в рот;Люблю спермочку в ротик)))
Боди массаж;От макушки до пяточек!
Профессиональный;Массаж горячими апельсинами!
Расслабляющий массаж;После оргазмов расслаьляющий массажик!)
Урологический массаж;Помассирую простату! В сочетании с глубоким минетом!
Эротический;Своим бархатным телом и красивой грудью доведу до оргазма!
Ролевые игры;Имеются костюмы
Фото/видео съемка;3000Без лица!
Виртуальный секс;Пофлиртуем!?
Cекс по телефону;Помогу разнообразить вашу сексуальную жизнь!)
Стриптиз;Медленно разденусь перед тобой и пойдем вместе в душ!
Стриптиз;Станцуем вместе?)
Лесби откровенное;С любимой подругой!
Лесби-шоу;Фетишные игры в расширенном составе!)
Страпон;Поставлю рачком на коленочки или задеру ножки и трахну нежно и сладко...
Анилингус;Кончаю также как от куни
Фистинг анальный;Доведу до оргазма! Найду точку G!
Фистинг анальный;Несколько пальчиков!
Фистинг классический;Несколько пальчиков!
Фингеринг;Несколько пальчиков! Доведи меня до сквирта!
Госпожа;Любой степени жесткости
Легкая доминация;В обе стороны
Рабыня;В игровой форме
Легкое подчинение;Буду послушной девочкой
Бандаж;Свяжу вам глазки своими чулочками и счду на личико сверху!
Фетиш;Длинные ухоженные ножки
Трамплинг;Ухоженные красивые длинные ножки
Куннилингус;Очень люблю)
Куннилингус;(face control) по симпатии 1000
Игрушки;(соблазнительное пип-шоу)
Боди массаж;Проминаю
Профессиональный;На уровне профи
Расслабляющий массаж;Мои ручки очень нежные
Ролевые игры;1500
Стриптиз;Приват танец от 1000 + 15 минут к прграмме
Стриптиз;500
Страпон;Пристегивается к трусикам). Вопросы в наличии.
Золотой дождь;1000 предупреждать заранее
Фетиш;Фут-фетиш 500 (футджоб 1000)
Анальный секс;+5000 рублей
Минет глубокий;В подарок
Минет в машине;6000 р
Игрушки;Вибромассажер Tiani 2 Black, G5 Vibe Tiger.
Окончание на лицо;+2000 рублей
Виртуальный секс;По видео WhatsAppу - в течение 10 минут - пошлый стриптиз на постели с искусственным членом (игрушкой) - 3000 рублей10 минут.
Cекс по телефону;В течение получаса или ГОЛОСОВЫЕ СООБЩЕНИЯ по Viberу или WhatsAppу от меня -2000 рублей.
Стриптиз;Обожаю
Страпон;+3000 р
Золотой дождь;+2000 рублей
Анальный секс;Предупредить заранее
Минет глубокий;Со слюньками
Минет без резинки;По договоренности)
Куннилингус;По договоренности оворенности)
Игрушки;1000 ( соблазнительное пип-шоу)
Боди массаж;Прошла обучение
Профессиональный;Владею техниками массажа
Расслабляющий массаж;Снимает напряжение и усталость
Урологический массаж;500 в вашу сторону
Эротический;Грудью, бёдрами, ягодичными..)
Ролевые игры;Любой сценарий)
Эскорт;2000т.
Виртуальный секс;Видео связь 1000
Cекс по телефону;Приятный и возбуждающий диалог 500
Страпон;Доп. в вашу сторону
Фистинг анальный;Для профилактики мужского здоровья
Фингеринг;По договоренности
Госпожа;Лайт
Легкая доминация;Обговаривается
Рабыня;По лайту
Легкое подчинение;Мягкое и ласковое
Бандаж;Ленточки,шнурки,ремни,чулочки
Порка;Вас или меня..обговор
Фетиш;Чулочки, ножки, туфельки
Трамплинг;С чувством и мягко
Игры;С удовольствием подыграю)
Игрушки;(соблазнительное пип-шоу) 1000
Окончание на грудь;Входит в любую программу
Боди массаж;Промну мышцы
Профессиональный;Диплома нет, но массаж качественный на уровне профи
Расслабляющий массаж;Мои руки очень нежные
Урологический массаж;1000 (делаю умело)
Эротический;Своим телом, грудью и ягодичками буду возбуждать каждую частичку твоего тела
Фото/видео съемка;Моё фото 1000
Стриптиз;Приват танец от 1000  (будет жарко) + 15 минут к программе
Золотой дождь;1000 предупреждать заранее
Легкое подчинение;500
Игры;1500
Анальный секс;+2000 на мое усмотрение
Минет без резинки;+2000 на мое усмотрение
Окончание в рот;При МБР
Минет без резинки;1000 только при вашей чистоплотности в праве отказать
Страпон;500
Секс групповой;До трех человек
Игрушки;В вашу сорону
Боди массаж;Профессионально на массажном столе
Урологический массаж;+1000 опыт
Эротический;Ммм))) приходи и насладись!!-
Страпон;+1000 Вам
Фетиш;+1000Фут фетиш
Золотой дождь;500
Фингеринг;Вам 2000
Игры;Договорная
Анальный секс;Доп + 3000
Услуги семейной паре;2ч 15 000
Минет глубокий;Горловой+
Окончание в рот;Входит в мбр
Фото/видео съемка;Доп 10 000
Страпон;Доп. 2000
Рабыня;Доп
Анальный секс;1000
Анальный секс;2000
Услуги семейной паре;12 000 час!
Окончание в рот;В презервативе
Cекс по телефону;3000 -15 мин
Анилингус;+1т.( на мое усмотрение)
Золотой дождь;На мои ножки
Фистинг классический;На 2 пальца
Секс классический;Узко как у девочки)
Анальный секс;+2000 всегда готова к анальному сексу! Кончаю...
Секс групповой;Двойной тариф, ЖМЖ, МЖМ
Секс лесбийский;Можно зажечь втроем с вашей или моей подругой!
Услуги семейной паре;Люблю девочек
Минет в презервативе;Даже в презервативе делаю божественно!)
Минет без резинки;Вылижу все окрестности! Разнообразные техники, возможно в сочетании со стимуляцией простаты
